,FG%,2P%,3P%,eFG%,FT%,TS%,PPG,APG,RPG,SPG,BPG,TPG
Year1,0.417,0.438,0.29,0.438,0.751,0.488,20.9,5.9,5.5,1.6,0.7,3.5
Year2,0.472,0.499,0.351,0.504,0.75,0.554,27.2,7.2,7.4,2.2,0.7,3.3
Year3,0.48,0.518,0.335,0.515,0.738,0.568,31.4,6.6,7,1.6,0.8,3.3
Year4,0.476,0.513,0.319,0.507,0.698,0.552,37.3,6,6.7,1.6,0.7,3.2
,,,,,,,,,,,,
HEIGHT W/O SHOES (inches),80,,,,,,,,,,,
STANDING REACH,107,,,,,,,,,,,
WINGSPAN,84,,,,,,,,,,,
WINGSPAN/HEIGHT,1.05,,,,,,,,,,,
WEIGHT (LBS),232,,,,,,,,,,,
AGILITY,12.32,,,,,,,,,,,
SPRINT,3.2,,,,,,,,,,,
MAX VERT,35,,,,,,,,,,,
